Date,PositiveReturn,PredictedValue,PredictedMinusActual,EquityPriceLevel,EquityPriceReturns,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,Equity_Position,Strategy_Cum_Rtn,Equity_Cum_Rtn
2019-11-01,1,1,0,296.1603088,0.009263998,0.01061008,0.0,-0.006535948,0.00921659,0.002994012,0.009263998,1.0970787690647068,1.1986931152078286
2019-11-04,1,0,-1,297.3501587,0.004017587,0.007874016,0.0,0.0,0.01369863,0.0039801,0.0,1.0970787690647068,1.2035089690844771
2019-11-05,0,1,1,297.0213013,-0.00110596,0.015625,0.008403361,0.013157895,0.022522523,0.003964321,-0.00110596,1.095865443829272,1.2021779363050284
2019-11-06,1,1,0,297.0889893,0.000227889,0.002564103,0.0,0.0,0.0,-0.000987167,0.000227889,1.0961151795094008,1.202451899432755
2019-11-07,1,1,0,298.1337891,0.003516791,0.010230179,0.0,0.0,0.008810573,0.004940711,0.003516791,1.099969987507663,1.206680671450613
2019-11-08,1,0,-1,298.868988,0.002466003,0.010126582,0.008333333,0.006493506,0.017467249,0.007866273,0.0,1.099969987507663,1.2096563496064525
2019-11-11,0,1,1,298.2982483,-0.001909665,0.007518797,0.008264463,0.006451613,-0.004291845,0.033170732,-0.001909665,1.097869413321469,1.2073463112135814
2019-11-12,1,1,0,298.9270325,0.002107904,0.014925373,0.0,0.0,0.021551724,0.005665722,0.002107904,1.100183616649287,1.209891281332374
2019-11-13,1,0,-1,299.0238037,0.000323729,0.049019608,0.024590164,0.019230769,0.067510549,0.034741784,0.0,1.100183616649287,1.2102829582269883
2019-11-14,1,0,-1,299.4590759,0.001455644,0.028037383,0.008,0.012578616,0.035573123,0.013611615,0.0,1.100183616649287,1.2120446993534337
2019-11-15,1,0,-1,301.6261597,0.007236661,-0.004545455,0.0,0.0,-0.007633588,-0.008057296,0.0,1.100183616649287,1.2208158559595015
2019-11-18,1,0,-1,301.8486023,0.000737478,-0.015981735,-0.007936508,-0.00621118,-0.023076923,-0.005415162,0.0,1.100183616649287,1.2217161807953227
2019-11-19,0,0,0,301.7615051,-0.000288546,0.018561485,0.008,0.00625,0.019685039,0.013611615,-0.0,1.100183616649287,1.2213636594782191
2019-11-20,0,0,0,300.6393127,-0.003718806,-0.01594533,-0.007936508,0.0,-0.023166023,-0.004476276,-0.0,1.100183616649287,1.2168216449731697
2019-11-21,0,0,0,300.1556091,-0.001608917,-0.013888889,0.0,-0.01242236,-0.023715415,-0.006294964,-0.0,1.100183616649287,1.2148638799426044
2019-11-22,1,1,0,300.8231812,0.002224087,-0.037558685,-0.024,-0.018867925,-0.056680162,-0.018099548,0.002224087,1.10263052072869,1.2175658429047544
2019-11-25,1,1,0,303.1546021,0.007750137,-0.004878049,0.0,0.0,0.0,-0.011981567,0.007750137,1.1111760583247186,1.2270021449937867
2019-11-26,1,0,-1,303.8414917,0.002265806,-0.017156863,-0.016393443,-0.012820513,-0.038626609,-0.004664179,0.0,1.1111760583247186,1.2297822938159264
2019-11-27,1,0,-1,305.1957703,0.004457188,0.0,0.0,-0.006493506,0.008928571,-0.000937207,0.0,1.1111760583247186,1.235263664698535
2019-11-29,0,1,1,304.0639954,-0.003708357,-0.002493766,-0.008333333,0.0,0.0,-0.003752345,-0.003708357,1.1070554208105976,1.2306828660407045
