,realtime_start,realtime_end,date,value
484,2021-10-19,2021-10-19,1987-11-11,.
485,2021-10-19,2021-10-19,1987-11-12,1.54
486,2021-10-19,2021-10-19,1987-11-13,1.53
487,2021-10-19,2021-10-19,1987-11-16,1.63
488,2021-10-19,2021-10-19,1987-11-17,1.74
489,2021-10-19,2021-10-19,1987-11-18,1.73
490,2021-10-19,2021-10-19,1987-11-19,1.84
491,2021-10-19,2021-10-19,1987-11-20,1.78
492,2021-10-19,2021-10-19,1987-11-23,1.72
493,2021-10-19,2021-10-19,1987-11-24,1.73
494,2021-10-19,2021-10-19,1987-11-25,1.86
495,2021-10-19,2021-10-19,1987-11-26,.
496,2021-10-19,2021-10-19,1987-11-27,2.12
497,2021-10-19,2021-10-19,1987-11-30,2.79
498,2021-10-19,2021-10-19,1987-12-01,2.26
499,2021-10-19,2021-10-19,1987-12-02,2.38
500,2021-10-19,2021-10-19,1987-12-03,2.51
501,2021-10-19,2021-10-19,1987-12-04,2.38
502,2021-10-19,2021-10-19,1987-12-07,2.05
503,2021-10-19,2021-10-19,1987-12-08,2.20
504,2021-10-19,2021-10-19,1987-12-09,2.30
505,2021-10-19,2021-10-19,1987-12-10,2.2
506,2021-10-19,2021-10-19,1987-12-11,2.39
507,2021-10-19,2021-10-19,1987-12-14,2.53
508,2021-10-19,2021-10-19,1987-12-15,2.45
509,2021-10-19,2021-10-19,1987-12-16,2.18
510,2021-10-19,2021-10-19,1987-12-17,2.13
511,2021-10-19,2021-10-19,1987-12-18,2.26
512,2021-10-19,2021-10-19,1987-12-21,2.07
513,2021-10-19,2021-10-19,1987-12-22,2.01
514,2021-10-19,2021-10-19,1987-12-23,2.22
515,2021-10-19,2021-10-19,1987-12-24,2.20
516,2021-10-19,2021-10-19,1987-12-25,.
