,realtime_start,realtime_end,date,value
435,2021-10-19,2021-10-19,1998-08-24,9.18
436,2021-10-19,2021-10-19,1998-08-25,9.29
437,2021-10-19,2021-10-19,1998-08-26,9.56
438,2021-10-19,2021-10-19,1998-08-27,10.13
439,2021-10-19,2021-10-19,1998-08-28,10.36
440,2021-10-19,2021-10-19,1998-08-31,10.78
441,2021-10-19,2021-10-19,1998-09-01,10.83
442,2021-10-19,2021-10-19,1998-09-02,10.74
443,2021-10-19,2021-10-19,1998-09-03,10.86
444,2021-10-19,2021-10-19,1998-09-04,10.90
445,2021-10-19,2021-10-19,1998-09-07,10.91
446,2021-10-19,2021-10-19,1998-09-08,10.78
447,2021-10-19,2021-10-19,1998-09-09,11.05
448,2021-10-19,2021-10-19,1998-09-10,11.39
449,2021-10-19,2021-10-19,1998-09-11,11.62
450,2021-10-19,2021-10-19,1998-09-14,11.50
451,2021-10-19,2021-10-19,1998-09-15,11.66
452,2021-10-19,2021-10-19,1998-09-16,11.64
453,2021-10-19,2021-10-19,1998-09-17,11.77
454,2021-10-19,2021-10-19,1998-09-18,12.06
455,2021-10-19,2021-10-19,1998-09-21,12.08
456,2021-10-19,2021-10-19,1998-09-22,12.09
457,2021-10-19,2021-10-19,1998-09-23,12.09
458,2021-10-19,2021-10-19,1998-09-24,12.05
459,2021-10-19,2021-10-19,1998-09-25,12.13
460,2021-10-19,2021-10-19,1998-09-28,12.16
461,2021-10-19,2021-10-19,1998-09-29,12.17
462,2021-10-19,2021-10-19,1998-09-30,12.33
463,2021-10-19,2021-10-19,1998-10-01,12.48
464,2021-10-19,2021-10-19,1998-10-02,12.56
465,2021-10-19,2021-10-19,1998-10-05,12.89
466,2021-10-19,2021-10-19,1998-10-06,12.92
467,2021-10-19,2021-10-19,1998-10-07,12.96
468,2021-10-19,2021-10-19,1998-10-08,13.40
469,2021-10-19,2021-10-19,1998-10-09,13.34
470,2021-10-19,2021-10-19,1998-10-12,13.37
471,2021-10-19,2021-10-19,1998-10-13,13.43
472,2021-10-19,2021-10-19,1998-10-14,13.79
473,2021-10-19,2021-10-19,1998-10-15,13.80
474,2021-10-19,2021-10-19,1998-10-16,13.91
475,2021-10-19,2021-10-19,1998-10-19,13.80
476,2021-10-19,2021-10-19,1998-10-20,13.69
477,2021-10-19,2021-10-19,1998-10-21,13.45
478,2021-10-19,2021-10-19,1998-10-22,13.35
479,2021-10-19,2021-10-19,1998-10-23,13.18
480,2021-10-19,2021-10-19,1998-10-26,13.19
481,2021-10-19,2021-10-19,1998-10-27,13.28
482,2021-10-19,2021-10-19,1998-10-28,13.45
483,2021-10-19,2021-10-19,1998-10-29,13.42
484,2021-10-19,2021-10-19,1998-10-30,13.28
485,2021-10-19,2021-10-19,1998-10-31,13.88
486,2021-10-19,2021-10-19,1998-11-02,13.55
487,2021-10-19,2021-10-19,1998-11-03,13.47
488,2021-10-19,2021-10-19,1998-11-04,13.23
489,2021-10-19,2021-10-19,1998-11-05,13.21
490,2021-10-19,2021-10-19,1998-11-06,12.93
491,2021-10-19,2021-10-19,1998-11-09,12.89
492,2021-10-19,2021-10-19,1998-11-10,12.66
493,2021-10-19,2021-10-19,1998-11-11,12.60
494,2021-10-19,2021-10-19,1998-11-12,12.46
495,2021-10-19,2021-10-19,1998-11-13,12.29
496,2021-10-19,2021-10-19,1998-11-16,12.10
497,2021-10-19,2021-10-19,1998-11-17,11.88
498,2021-10-19,2021-10-19,1998-11-18,11.79
499,2021-10-19,2021-10-19,1998-11-19,11.65
500,2021-10-19,2021-10-19,1998-11-20,11.56
501,2021-10-19,2021-10-19,1998-11-23,11.52
502,2021-10-19,2021-10-19,1998-11-24,11.49
503,2021-10-19,2021-10-19,1998-11-25,11.45
504,2021-10-19,2021-10-19,1998-11-26,11.45
505,2021-10-19,2021-10-19,1998-11-27,11.45
506,2021-10-19,2021-10-19,1998-11-30,13.42
507,2021-10-19,2021-10-19,1998-12-01,13.53
508,2021-10-19,2021-10-19,1998-12-02,13.71
509,2021-10-19,2021-10-19,1998-12-03,13.70
510,2021-10-19,2021-10-19,1998-12-04,13.67
511,2021-10-19,2021-10-19,1998-12-07,13.62
512,2021-10-19,2021-10-19,1998-12-08,13.76
513,2021-10-19,2021-10-19,1998-12-09,13.69
514,2021-10-19,2021-10-19,1998-12-10,13.83
515,2021-10-19,2021-10-19,1998-12-11,13.78
